,title,date,content
0,Air Liquide: nouveaux PPA avec Sasol en Afrique du Sud,2023-11-21 09:23:00,"Air Liquide a annoncé mardi avoir signé de nouveaux contrats de long terme avec le sud-africain Sasol portant sur des capacités d'électricité renouvelable de 100 MW au niveau du site de Secunda. Le partenariat a été conclu avec le fournisseur d'énergie éolienne et solaire Mainstream Renewable Power, qui a été chargé de construire une ferme solaire qui devrait être opérationnelle en 2025. Il s'agit de la troisième série de 'PPA' conclus par Air Liquide et Sasol, après ceux déjà annoncés en début d'année avec Enel Green Power et avec TotalEnergies et son partenaire Mulilo. Ces accords doivent contribuer à l'objectif d'Air Liquide de réduire de 30% à 40% les émissions de CO2 liées à la production d'oxygène d'ici 2031 à Secunda, où le groupe exploite le plus grand site de production d'oxygène au monde. Pour mémoire, Air Liquide a racheté à Sasol les 16 unités de production d'oxygène de ce dernier à Secunda, qu'il exploite désormais depuis juin 2021. En tenant compte d'une autre unité de séparation des gaz de l'air (ASU) que le groupe opérait déjà pour Sasol, Air Liquide exploite un total de 17 ASU à Secunda, pour une capacité totale de 47.000 tonnes d'oxygène par jour."
1,Air Liquide: allié à Eneos pour l'hydrogène bas carbone,2023-11-15 09:28:00,"Air Liquide annonce la signature avec Eneos Corporation, leader japonais de l'énergie, d'un protocole d'accord pour étudier le développement de la production d'hydrogène bas carbone, en ayant recours aussi bien aux technologies de CCUS que d'électrolyse. En outre, les deux groupes examineront les possibilités de collaborations en matière de développement d'une chaîne logistique internationale d'hydrogène liquide pour approvisionner le marché japonais à partir de l'étranger. Enfin, ce partenariat étudiera des initiatives communes pour développer la mobilité hydrogène au Japon, y compris via une infrastructure de stations-service d'hydrogène, et une collaboration en matière d'innovation sur la chaîne de valeur de l'hydrogène."
2,Air Liquide: inaugure une usine avec Siemens à Berlin,2023-11-08 17:27:00,"Air Liquide et Siemens ont officiellement inauguré ce mercredi leur nouvelle usine berlinoise, destinée à la production d'électrolyseurs hydrogène renouvelable de grande taille. Cette entrée en production - qui représente un investissement de quelque 30 millions d'euros - doit précéder une montée en puissance dans les années qui viennent, avec un objectif de capacité annuelle de trois gigawatts d'ici 2025. A titre d'indication, une puissance de trois gigawatts est censée permettre la production annuelle de 300.000 tonnes métriques d'hydrogène vert, soit l'équivalent de la consommation théorique d'une grande ville comme Aachen en Allemagne (260.000 habitants). L'un des premiers projets concernés est celui de l'électrolyseur Air Liquide Normand'Hy, qui doit afficher une capacité de 200 mégawatts dans une première phase et dont l'assemblage est prévu en France. L'inauguration s'est déroulée en présence du Chancelier allemand Olaf Scholz, du patron de Siemens Energy Christian Bruch et du directeur général d'Air Liquide, Francois Jackow. "
3,Air Liquide: offre de rachat partiel d'obligations,2023-11-06 14:15:00,"Air Liquide annonce le lancement d'une offre de rachat partiel en numéraire, pour un montant maximum d'acceptation total de 300 millions d'euros en principal d'obligations, une opération qui participera à l'optimisation de la structure de financement du groupe. Cette offre porte sur trois souches obligataires venant à maturité en juin 2024 ou en avril 2025, et portant des coupons de respectivement 1,875%, 0,750% et 1,000%.  Ces obligations sont admises aux négociations sur le marché réglementé de la Bourse de Luxembourg. L'offre de rachat sera ouverte de ce 6 novembre jusqu'à 16h00 (heure de Paris) le 13 novembre et son résultat final sera annoncé le 14 novembre dès que possible après l'heure de fixation du prix des obligations à échéance avril 2025."
4,Air Liquide: début d'une opération d'actionnariat salarié,2023-10-31 07:08:00,"Air Liquide annonce une opération d'augmentation de capital réservée aux salariés, opération qui couvrira près de soixante pays, pour 'associer encore davantage ses collaborateurs au développement du groupe et à ses performances dans la durée'. Le prix de souscription des actions a été fixé à 126,49 euros, et l'opération portera sur un nombre maximum de 750.000 actions.  La période de souscription se déroulera du 6 novembre à 9 heures au 16 novembre à midi (heure de Paris). Les nouvelles actions seront immédiatement assimilées aux anciennes et bénéficieront des mêmes droits.  Elles seront bloquées pendant cinq ans, sauf cas de déblocage anticipé prévus par les réglementations applicables en France et dans les pays participants."
5,"Air Liquide: hausse de 1,5% du CA trimestriel en comparable",2023-10-25 08:40:00,"Air Liquide affiche un chiffre d'affaires de 6,81 milliards d'euros au titre du troisième trimestre 2023, en chute de 17,4% en données brutes du fait de la baisse des prix de l'énergie et d'un effet de change négatif, mais en hausse de 1,5% à données comparables. L'activité gaz et services, qui représente 95% du chiffre d'affaires du groupe, s'est inscrite en hausse comparable de 1,7%, l'industriel marchand et la santé ayant été les moteurs de la croissance de cette activité. Pour l'ensemble de 2023, Air Liquide se dit confiant dans sa capacité à augmenter à nouveau sa marge opérationnelle et à réaliser une croissance du résultat net récurrent, à change constant, des perspectives 'soutenues par des décisions d'investissement record'."
6,Air Liquide: plateforme pour du gaz bas carbone au Québec,2023-10-25 07:43:00,"Air Liquide annonce la création d'une plateforme innovante de production de gaz bas carbone, parmi lesquels de l'hydrogène, de l'oxygène, de l'azote et de l'argon, à Bécancour, au Québec, représentant un investissement de plus de 140 millions d'euros. L'infrastructure que le groupe va mettre en place comprendra une nouvelle unité de production d'oxygène et d'azote renouvelables, ainsi qu'une capacité de stockage liquide, reliés par un réseau de canalisations local pour mieux servir ses clients. La nouvelle plateforme approvisionnera principalement, dans le cadre de contrats à long terme, des clients fabriquant des composants de batteries pour véhicules électriques.  Elle devrait être opérationnelle en 2025."
7,Air Liquide: contrat PPA conclu avec Vattenfall au Benelux,2023-10-24 09:21:00,"Air Liquide a annoncé mardi qu'il allait assurer 70% de ses besoins en électricité renouvelable au Benelux grâce à la signature d'un nouveau contrat de long terme avec le suédois Vattenfall. Le producteur de gaz industriels explique que ce second contrat d'achat d'énergie renouvelable (PPA) conclu avec la compagnie scandinave pour une puissance installée de 115 MW va lui permettre de renforcer significativement son approvisionnement dans la région. Signé pour une durée de 15 ans à compter de 2026, ce nouveau PPA portera la puissance installée totale de production d'électricité renouvelable à la disposition d'Air Liquide à environ 270 MW au Benelux, soit plus de 70% de sa consommation d'électricité actuelle dans la région. Cette électricité doit êtrera générée par le parc éolien offshore Hollandse Kust Zuid (HKZ) de Vattenfall, situé au large des côtes néerlandaises."
8,"Air Liquide : gare à la cassure des 154,75E",2023-10-20 14:27:00,"La pépite Air Liquide valide la cassure du support des 154,75E du 7 juillet et entame un mouvement de correction en direction de 146,5, le palier de soutien testé le 135 mars dernier. L'objectif suivant serait 142,3, le plancher du 10 fvrier dernier. . .  niveau qui coïncide vec 50% de retracement de la hausse le 27 septembre 2022 depuis un plancher de 116E."
9,"Air Liquide: double-top sous 168,5E -Air Liquide",2023-09-20 15:13:00,"Air Liquide matérialise un double-top parfait sous 168,5E les 31 août et 15 septembre, et c'est également le 3ème plafonnement très précisément au contact des 167,5/168E depuis les 16 juin dernier (clôture à 167,94E). La tendance haussière est invalidée par la franche cassure des 164E (support oblique), ce qui libère un potentiel de repli vers 156,6E puis surtout 154,8E, le plancher du 7 juillet dernier."
